# METADATOS
emisor,Pampa Energía S.A.
ticker,MGCOO
moneda,USD
ley,NY
cupon_anual,7.875
tipo_tasa,fija
frecuencia,semestral
fecha_emision,2024-12-16
fecha_vencimiento,2034-12-16
valor_nominal,100
tipo_amortizacion,Bullet (pago único al vencimiento)
meses_pago,6, 12
# FLUJOS
fecha,interes,amortizacion
2025-06-16,3.9375,0.00
2025-12-16,3.9375,0.00
2026-06-16,3.9375,0.00
2026-12-16,3.9375,0.00
2027-06-16,3.9375,0.00
2027-12-16,3.9375,0.00
2028-06-16,3.9375,0.00
2028-12-16,3.9375,0.00
2029-06-16,3.9375,0.00
2029-12-16,3.9375,0.00
2030-06-16,3.9375,0.00
2030-12-16,3.9375,0.00
2031-06-16,3.9375,0.00
2031-12-16,3.9375,0.00
2032-06-16,3.9375,0.00
2032-12-16,3.9375,0.00
2033-06-16,3.9375,0.00
2033-12-16,3.9375,0.00
2034-06-16,3.9375,0.00
2034-12-16,3.9375,100.00
