# METADATOS
emisor,Pampa Energía S.A.
ticker,MGCRO
moneda,USD
ley,NY
cupon_anual,7.75
tipo_tasa,fija
frecuencia,semestral
fecha_emision,2025-11-14
fecha_vencimiento,2037-11-14
valor_nominal,100
tipo_amortizacion,Bullet (pago único al vencimiento)
meses_pago,5, 11
# FLUJOS
fecha,interes,amortizacion
2026-05-14,3.875,0.00
2026-11-14,3.875,0.00
2027-05-14,3.875,0.00
2027-11-14,3.875,0.00
2028-05-14,3.875,0.00
2028-11-14,3.875,0.00
2029-05-14,3.875,0.00
2029-11-14,3.875,0.00
2030-05-14,3.875,0.00
2030-11-14,3.875,0.00
2031-05-14,3.875,0.00
2031-11-14,3.875,0.00
2032-05-14,3.875,0.00
2032-11-14,3.875,0.00
2033-05-14,3.875,0.00
2033-11-14,3.875,0.00
2034-05-14,3.875,0.00
2034-11-14,3.875,0.00
2035-05-14,3.875,0.00
2035-11-14,3.875,0.00
2036-05-14,3.875,0.00
2036-11-14,3.875,0.00
2037-05-14,3.875,0.00
2037-11-14,3.875,100.00
