# METADATOS
emisor,Arcor S.A.I.C.
ticker,RCCJD
moneda,USD
ley,AR
cupon_anual,8.25
tipo_tasa,fija
frecuencia,semestral
fecha_emision,2022-11-09
fecha_vencimiento,2027-10-09
valor_nominal,100
tipo_amortizacion,Bullet (pago único al vencimiento)
meses_pago,4, 10
# FLUJOS
fecha,interes,amortizacion
2023-04-10,4.125,0.00
2023-10-09,4.125,0.00
2024-04-09,4.125,0.00
2024-10-09,4.125,0.00
2025-04-09,4.125,0.00
2025-10-09,4.125,0.00
2026-04-09,4.125,0.00
2026-10-09,4.125,0.00
2027-04-09,4.125,0.00
2027-10-09,4.125,100.00
