# METADATOS
emisor,Vista Energy Argentina S.A.U.
ticker,VSCTO
moneda,USD
ley,NY
cupon_anual,7.625
tipo_tasa,fija
frecuencia,semestral
fecha_emision,2024-12-10
fecha_vencimiento,2035-12-10
valor_nominal,100
tipo_amortizacion,Gradual (33%+33%+34% los últimos 3 años)
meses_pago,6, 12
# FLUJOS
fecha,interes,amortizacion
2025-06-10,3.8125,0.00
2025-12-10,3.8125,0.00
2026-06-10,3.8125,0.00
2026-12-10,3.8125,0.00
2027-06-10,3.8125,0.00
2027-12-10,3.8125,0.00
2028-06-10,3.8125,0.00
2028-12-10,3.8125,0.00
2029-06-10,3.8125,0.00
2029-12-10,3.8125,0.00
2030-06-10,3.8125,0.00
2030-12-10,3.8125,0.00
2031-06-10,3.8125,0.00
2031-12-10,3.8125,0.00
2032-06-10,3.8125,0.00
2032-12-10,3.8125,0.00
2033-06-10,3.8125,0.00
2033-12-10,3.8125,33.00
2034-06-10,2.554375,0.00
2034-12-10,2.554375,33.00
2035-06-10,1.29625,0.00
2035-12-10,1.29625,34.00
