# METADATOS
emisor,Vista Energy Argentina S.A.U.
ticker,VSCXO
moneda,USD
ley,NY
cupon_anual,7.875
tipo_tasa,fija
frecuencia,semestral
fecha_emision,2026-04-08
fecha_vencimiento,2038-04-08
valor_nominal,100
tipo_amortizacion,Gradual (33%+33%+34% los últimos 3 años)
meses_pago,4, 10
# FLUJOS
fecha,interes,amortizacion
2026-10-08,3.9375,0.00
2027-04-08,3.9375,0.00
2027-10-08,3.9375,0.00
2028-04-08,3.9375,0.00
2028-10-08,3.9375,0.00
2029-04-08,3.9375,0.00
2029-10-08,3.9375,0.00
2030-04-08,3.9375,0.00
2030-10-08,3.9375,0.00
2031-04-08,3.9375,0.00
2031-10-08,3.9375,0.00
2032-04-08,3.9375,0.00
2032-10-08,3.9375,0.00
2033-04-08,3.9375,0.00
2033-10-08,3.9375,0.00
2034-04-08,3.9375,0.00
2034-10-08,3.9375,0.00
2035-04-08,3.9375,0.00
2035-10-08,3.9375,0.00
2036-04-08,3.9375,33.00
2036-10-08,2.638125,0.00
2037-04-08,2.638125,33.00
2037-10-08,1.33875,0.00
2038-04-08,1.33875,34.00
