# METADATOS
emisor,YPF S.A.
ticker,YM39O
moneda,USD
ley,AR
cupon_anual,8.75
tipo_tasa,fija
frecuencia,semestral
fecha_emision,2025-07-22
fecha_vencimiento,2030-07-22
valor_nominal,100
tipo_amortizacion,Bullet (pago único al vencimiento)
meses_pago,1, 7
# FLUJOS
fecha,interes,amortizacion
2026-01-22,4.41,0.00
2026-07-22,4.34,0.00
2027-01-22,4.41,0.00
2027-07-22,4.34,0.00
2028-01-22,4.41,0.00
2028-07-22,4.36,0.00
2029-01-22,4.41,0.00
2029-07-22,4.34,0.00
2030-01-22,4.41,0.00
2030-07-22,4.34,100.00
