# METADATOS
emisor,YPF S.A.
ticker,YMCID
moneda,USD
ley,NY
cupon_anual,9.0
tipo_tasa,fija
frecuencia,semestral
fecha_emision,2021-06-30
fecha_vencimiento,2029-06-30
valor_nominal,100
tipo_amortizacion,Bullet (pago único al vencimiento)
meses_pago,6, 12
# FLUJOS
fecha,interes,amortizacion
2021-12-30,4.50,0.00
2022-06-30,4.50,0.00
2022-12-30,4.50,0.00
2023-06-30,4.50,0.00
2023-12-30,4.50,0.00
2024-06-30,4.50,0.00
2024-12-30,4.50,0.00
2025-06-30,4.50,0.00
2025-12-30,4.50,0.00
2026-06-30,4.50,0.00
2026-12-30,4.50,0.00
2027-06-30,4.50,0.00
2027-12-30,4.50,0.00
2028-06-30,4.50,0.00
2028-12-30,4.50,0.00
2029-06-30,4.50,100.00
