# METADATOS
emisor,YPF S.A.
ticker,YMCJD
moneda,USD
ley,NY
cupon_anual,7.0
tipo_tasa,fija
frecuencia,semestral
fecha_emision,2021-09-30
fecha_vencimiento,2033-09-30
valor_nominal,100
tipo_amortizacion,Amortización gradual los últimos 4 años (25% cada año desde 2030)
meses_pago,3, 9
# FLUJOS
fecha,interes,amortizacion
2022-03-30,3.50,0.00
2022-09-30,3.50,0.00
2023-03-30,3.50,0.00
2023-09-30,3.50,0.00
2024-03-30,3.50,0.00
2024-09-30,3.50,0.00
2025-03-30,3.50,0.00
2025-09-30,3.50,0.00
2026-03-30,3.50,0.00
2026-09-30,3.50,0.00
2027-03-30,3.50,0.00
2027-09-30,3.50,0.00
2028-03-30,3.50,0.00
2028-09-30,3.50,25.00
2029-03-30,2.625,0.00
2029-09-30,2.625,25.00
2030-03-30,1.75,0.00
2030-09-30,1.75,25.00
2031-03-30,0.875,0.00
2031-09-30,0.875,25.00
