# METADATOS
emisor,YPF S.A.
ticker,YMCXD
moneda,USD
ley,NY
cupon_anual,5.5
tipo_tasa,fija
frecuencia,trimestral
fecha_emision,2021-11-30
fecha_vencimiento,2026-11-30
valor_nominal,100
tipo_amortizacion,Bullet (pago único al vencimiento)
meses_pago,2, 5, 8, 11
# FLUJOS
fecha,interes,amortizacion
2022-02-28,1.375,0.00
2022-05-31,1.375,0.00
2022-08-31,1.375,0.00
2022-11-30,1.375,0.00
2023-02-28,1.375,0.00
2023-05-31,1.375,0.00
2023-08-31,1.375,0.00
2023-11-30,1.375,0.00
2024-02-29,1.375,0.00
2024-05-31,1.375,0.00
2024-08-31,1.375,0.00
2024-11-30,1.375,0.00
2025-02-28,1.375,0.00
2025-05-31,1.375,0.00
2025-08-31,1.375,0.00
2025-11-30,1.375,0.00
2026-02-28,1.375,0.00
2026-05-31,1.375,0.00
2026-08-31,1.375,0.00
2026-11-30,1.375,100.00
